,date,Granularidad,Indicador,Unidad,Valor
0,01-01-1990,Anual,IVA,COP,411482
1,01-01-1991,Anual,IVA,COP,628340
2,01-01-1992,Anual,IVA,COP,894653
3,01-01-1993,Anual,IVA,COP,1359344
4,01-01-1994,Anual,IVA,COP,1801397
5,01-01-1995,Anual,IVA,COP,2218156
6,01-01-1996,Anual,IVA,COP,3412537
7,01-01-1997,Anual,IVA,COP,4010276
8,01-01-1998,Anual,IVA,COP,4512718
9,01-01-1999,Anual,IVA,COP,4934015
10,01-01-2000,Anual,IVA,COP,5789588.730359226
11,01-01-2001,Anual,IVA,COP,7322401.820772237
12,01-01-2002,Anual,IVA,COP,7951042.492911259
13,01-01-2003,Anual,IVA,COP,9672157.254809268
14,01-01-2004,Anual,IVA,COP,11010806.088457314
15,01-01-2005,Anual,IVA,COP,12184699.246262275
16,01-01-2006,Anual,IVA,COP,14129092.986480052
17,01-01-2007,Anual,IVA,COP,17059745.041436613
18,01-01-2008,Anual,IVA,COP,18857401
19,01-01-2009,Anual,IVA,COP,19454512.48257403
20,01-01-2010,Anual,IVA,COP,21664559.784834743
21,01-01-2011,Anual,IVA,COP,25106967.312559288
22,01-01-2012,Anual,IVA,COP,26544725.23842985
23,01-01-2013,Anual,IVA,COP,25266408.311233502
24,01-01-2014,Anual,IVA,COP,28313654
25,01-01-2015,Anual,IVA,COP,29598672
26,01-01-2016,Anual,IVA,COP,30686589.408293337
27,01-01-2017,Anual,IVA,COP,37516564.027893715
28,01-01-2018,Anual,IVA,COP,40856077.707522005
29,01-01-2019,Anual,IVA,COP,44239490.9647754
30,01-01-2020,Anual,IVA,COP,39498649.329391904
31,01-01-2021,Anual,IVA,COP,46605768.87825497
32,01-01-2022,Anual,IVA,COP,56439519.18236184
33,01-01-2023,Anual,IVA,COP,20263912.164629962
34,01-01-1990,Anual,Paridad de poder adquisitivo,PPA,137.334953
35,01-01-1991,Anual,Paridad de poder adquisitivo,PPA,168.679453
36,01-01-1992,Anual,Paridad de poder adquisitivo,PPA,203.818544
37,01-01-1993,Anual,Paridad de poder adquisitivo,PPA,248.512945
38,01-01-1994,Anual,Paridad de poder adquisitivo,PPA,308.382512
39,01-01-1995,Anual,Paridad de poder adquisitivo,PPA,368.204539
40,01-01-1996,Anual,Paridad de poder adquisitivo,PPA,432.881756
41,01-01-1997,Anual,Paridad de poder adquisitivo,PPA,508.11811
42,01-01-1998,Anual,Paridad de poder adquisitivo,PPA,588.528522
43,01-01-1999,Anual,Paridad de poder adquisitivo,PPA,667.754506
44,01-01-2000,Anual,Paridad de poder adquisitivo,PPA,743.254866
45,01-01-2001,Anual,Paridad de poder adquisitivo,PPA,779.778986
46,01-01-2002,Anual,Paridad de poder adquisitivo,PPA,819.642123
47,01-01-2003,Anual,Paridad de poder adquisitivo,PPA,878.84745
