ID_Topico,Topico
1,"ecopetrol, presidente, compañía, directivo, empresa, junta, bayón, billón, accionista, asamblea"
2,"energético, energía, emisión, colombia, transición, consumo, natural, país, transporte, proyecto"
3,"jornada, petro, unidad, mercado, registrar, bolsa, precio, alza, acción, empresa"
4,"marca, universidad, policía, miembro, ataque, atentado, uniformado, junta, millón, herido"
5,"acción, caída, caer, pesos, valor, tecnoglass, viernes, imagen, elección, bolsa"
6,"tasa, banco, inflación, precio, mercado, pesos, dólar, colombia, financiero, república"
7,"tarjeta, usuario, millón, crédito, interés, empresa, cliente, tasa, mastercard, plataforma"
8,"mujer, grupo, sura, empresa, asamblea, accionista, nutresa, gilinski, votar, bancolombia"
9,"laboral, perfil, reforma, profesional, imagen, organización, página, empleo, persona, festival"
10,"costo, ultra, leche, aerolínea, ciclo, avión, hábil, operación, precio, tiquet"
11,"banca, ofrecer, financiero, virtual, acceder, servicio, fintech, herramienta, pago, bogotá"
12,"extraordinario, sura, reunión, directivo, gilinski, grupo, junta, argo, viernes, delegado"
13,"información, paula, llamada, maría, hija, azul, entregar, estudiante, munévar, munevar"
14,"código, video, robo, lulo, modalidad, original, delincuente, pegar, robar, robar él"
15,"tasa, inflación, banco, interés, bbva, país, crecimiento, crédito, precio, colombiano"
16,"pago, banco, impuesto, pagar, cuota, empleo, digital, bbva, entidad, semana"
17,"cesantía, dinero, perder, bbva, pago, renta, financiero, libro, trabajo, mensaje"
18,"méxico, seguro, empresa, inversión, manufactura, riesgo, país, solar, colombia, fondo"
19,"cliente, falla, entidad, davivienda, plataforma, servicio, ataque, cajero, banco, registrar"
20,"tasa, crédito, vivienda, bajar, cesantía, nariño, asociado, interés, presidente, empresa"
21,"mundial, corresponsal, campaña, millón, pesos, examen, prueba, comercial, recaudo, ricardo"
22,"beneficio, banco, cooperativa, profesional, tarjeta, valencia, vigente, liquidación, acreedor, liquidador"
23,"rappipay, policía, mora, video, joven, incendiar, año, grupo, compañía, sostenibilidad"
24,"tasa, vehículo, clásico, banco, interés, bajo, tarjeta, crédito, marzo, usado"
