ID_Articulo,ID_Topico
0,3
1,3
2,3
3,5
4,5
5,5
6,5
7,5
8,3
9,5
10,3
11,3
12,3
13,3
14,3
15,3
16,3
17,3
18,3
19,1
178,3
179,3
180,4
181,1
182,3
183,3
184,2
185,3
186,4
187,1
188,5
189,5
190,5
191,2
192,1
193,2
194,5
195,2
196,3
197,4
198,2
199,2
200,3
385,3
386,1
387,4
388,3
389,4
390,2
391,3
392,3
393,2
394,4
395,3
396,2
397,3
398,4
399,5
612,3
613,2
614,3
617,3
618,3
619,3
620,3
621,3
622,3
623,3
624,3
625,3
626,3
627,3
628,3
629,2
630,2
631,2
632,3
633,3
634,2
635,3
636,3
637,2
638,2
639,2
640,2
641,2
642,4
643,2
644,2
645,2
646,4
647,4
648,3
649,3
650,1
651,2
652,3
772,2
804,4
805,3
806,3
836,3
837,3
838,3
839,1
840,5
841,3
842,1
843,5
886,3
887,5
888,1
889,4
890,2
891,4
892,1
963,3
964,3
965,3
966,3
967,2
968,1
969,4
970,2
973,3
974,3
975,5
976,3
977,3
978,3
979,5
980,3
981,1
982,3
1089,3
1090,3
20,9
21,7
22,7
23,12
24,9
25,8
26,10
27,9
28,9
29,7
30,12
31,7
32,7
33,12
34,10
35,14
36,7
37,7
38,7
39,7
208,12
209,11
210,8
211,11
212,7
213,9
214,13
215,8
216,11
217,8
218,7
219,8
220,8
221,6
222,11
223,8
224,11
225,8
226,12
466,7
467,7
468,7
469,12
470,7
471,7
472,6
473,7
474,12
475,7
476,12
477,7
478,10
664,11
665,11
666,14
667,7
668,7
669,9
670,7
671,8
672,9
673,12
674,8
812,7
813,10
814,12
847,9
1007,9
1008,12
1009,12
1091,12
40,15
41,17
42,17
43,17
44,17
45,16
46,17
47,15
48,17
49,17
50,18
51,16
52,17
53,16
54,17
55,16
56,15
57,15
227,16
228,16
229,17
230,15
231,15
232,15
233,15
234,18
235,16
236,17
237,16
238,15
239,18
240,15
241,15
242,16
243,15
244,17
245,16
246,15
247,17
479,17
480,16
481,17
482,17
483,15
484,15
485,15
486,15
487,16
488,15
675,15
676,18
677,17
678,18
679,17
680,18
681,15
682,15
683,17
684,15
815,15
816,18
817,17
818,18
848,17
849,16
893,17
894,16
1010,17
1011,15
1012,15
1013,17
1014,15
1015,15
1016,16
58,23
59,23
60,19
61,19
62,20
63,25
64,23
65,23
66,23
67,23
68,23
69,23
70,22
71,23
72,23
73,22
74,22
255,22
490,24
491,19
492,19
823,21
824,24
825,20
826,24
852,25
1018,24
1019,24
1020,23
1021,20
1022,25
75,26
76,26
77,26
78,26
79,26
80,26
81,26
82,26
83,26
84,26
85,26
86,26
87,26
88,26
89,26
90,26
91,26
92,26
93,26
286,27
287,26
288,26
289,26
290,26
291,26
292,26
293,26
294,26
295,27
296,26
297,26
298,27
509,26
510,26
511,27
512,27
513,26
514,26
515,27
516,27
517,26
518,27
519,26
520,26
521,26
697,26
698,26
699,26
700,26
701,26
702,26
703,26
704,26
705,26
776,27
831,26
832,26
833,26
834,26
857,26
858,26
859,27
860,27
861,26
862,26
895,27
896,26
1029,27
1030,26
1031,27
1032,26
1033,27
1034,26
1035,26
1036,27
1037,26
94,30
95,28
96,28
97,28
98,28
99,29
100,30
101,28
102,28
103,28
104,28
105,28
106,30
107,30
108,28
109,28
110,30
111,30
352,28
540,29
541,28
542,29
543,29
544,30
545,28
546,29
547,28
548,30
549,28
777,29
1047,28
1048,28
1049,28
1050,28
1051,28
1052,28
1053,28
1054,28
1055,30
112,32
113,32
114,31
115,32
116,32
117,31
118,32
119,32
120,32
121,32
122,32
123,31
124,31
125,32
126,32
127,31
128,32
129,31
130,32
131,31
353,32
354,32
355,32
356,32
357,31
358,32
359,32
360,32
361,32
362,31
363,32
364,31
365,31
366,32
367,32
368,32
550,32
551,31
552,32
553,32
554,32
555,32
556,32
557,32
558,32
559,31
726,32
727,31
728,32
729,31
730,32
731,32
732,31
733,31
734,32
735,31
736,32
737,31
738,32
867,32
868,32
869,31
1056,32
1057,31
1058,32
1059,32
1060,32
1061,31
1062,32
132,39
133,37
134,37
135,37
136,38
137,37
138,37
139,33
140,38
141,33
142,37
143,37
144,37
145,38
146,38
147,35
148,36
149,38
150,38
151,36
373,36
374,38
375,33
376,33
377,33
378,38
379,40
572,37
573,38
574,38
575,35
576,35
577,35
578,38
579,37
580,37
581,33
582,38
583,38
584,39
585,38
586,38
742,37
743,36
744,35
745,37
746,36
747,37
748,33
749,37
750,36
751,37
752,37
753,36
754,37
755,37
756,37
778,33
779,34
780,38
781,33
782,33
783,36
784,33
870,34
871,38
872,38
873,38
937,33
938,35
939,37
940,37
941,33
942,38
943,40
1063,35
1064,40
1065,35
1066,37
1067,35
1068,38
1069,39
1070,37
152,42
153,41
154,41
155,41
156,41
157,41
380,42
381,41
382,42
383,42
384,41
587,42
588,42
589,42
590,42
591,41
592,41
593,41
594,42
595,41
596,42
597,41
598,41
757,42
758,41
759,41
760,41
761,42
762,41
763,41
764,42
765,42
766,42
767,41
770,42
771,41
785,41
786,41
787,42
788,42
789,41
790,41
791,42
792,41
793,41
794,41
795,41
796,41
797,41
798,41
799,42
800,42
801,42
802,42
803,41
874,41
875,41
876,42
877,42
898,41
899,41
900,41
901,41
902,41
903,41
904,42
905,42
906,41
907,42
908,41
909,41
910,41
911,41
912,41
913,41
914,41
915,42
916,41
917,42
918,41
919,41
920,41
921,41
922,41
923,41
924,41
925,41
926,41
927,42
928,41
929,41
930,42
931,41
932,42
933,41
934,41
935,42
944,41
945,41
946,41
947,41
948,41
949,41
950,42
951,41
952,41
953,41
954,42
955,41
956,42
957,42
958,42
959,41
960,41
961,41
962,42
972,41
1071,42
1072,41
1073,41
1074,41
1075,42
1076,41
1077,41
1078,41
158,45
159,43
160,48
161,46
162,43
163,43
164,46
165,46
166,47
167,43
168,43
169,44
170,46
171,43
172,48
173,43
174,43
175,43
176,43
177,48
599,46
600,47
601,47
602,43
603,43
604,43
605,43
606,47
607,44
608,44
609,50
610,43
611,43
768,49
769,49
878,48
879,46
880,45
881,46
882,48
883,46
884,50
885,48
1079,50
1080,43
1081,48
1082,47
1083,48
1084,49
1085,43
1086,43
1087,44
1088,43
201,58
202,51
203,56
204,51
400,59
401,55
402,51
403,55
404,51
405,53
406,57
407,56
408,55
409,54
410,55
411,57
412,56
413,55
615,55
616,51
653,59
654,54
655,55
656,59
657,54
658,56
659,54
660,54
661,56
773,56
807,51
844,57
845,56
983,57
984,57
985,57
986,56
987,56
988,51
989,57
990,51
205,61
206,65
207,65
441,61
442,62
443,62
444,63
445,63
446,62
447,62
448,62
449,60
450,64
451,60
452,63
248,66
249,67
250,67
251,66
252,66
253,66
254,66
489,66
685,67
686,66
687,67
688,66
819,67
820,66
821,67
822,66
850,66
851,66
936,67
1017,67
256,68
257,68
258,69
259,68
260,68
261,69
262,69
263,68
264,68
265,68
266,68
267,68
268,68
269,68
270,68
271,68
272,68
273,68
274,68
275,68
276,68
277,68
278,68
279,69
280,68
281,68
282,68
283,69
284,68
