,Palabra,Frecuencia,ID_Articulo
0,"movimiento, dólar",1,0
1,"dólar, semanas",1,0
2,"semanas, atrás",1,0
3,"atrás, venía",1,0
4,"venía, mostrando",1,0
5,"mostrando, comportamientos",1,0
6,"comportamientos, bajistas",1,0
7,"bajistas, constantes",1,0
8,"constantes, viernes",1,0
9,"viernes, enero",2,0
10,"enero, sorprendió",1,0
11,"sorprendió, leve",1,0
12,"leve, repunte",1,0
13,"repunte, presentó",1,0
14,"presentó, miércoles",1,0
15,"miércoles, febrero",1,0
16,"febrero, fecha",1,0
17,"fecha, comenzó",1,0
18,"comenzó, caer",1,0
19,"caer, nuevamente",1,0
20,"nuevamente, comportamiento",1,0
21,"comportamiento, duró",1,0
22,"duró, volatilidad",1,0
23,"volatilidad, moneda",1,0
24,"moneda, viene",1,0
25,"viene, acompañada",1,0
26,"acompañada, serie",1,0
27,"serie, sucesos",1,0
28,"sucesos, nacionales",1,0
29,"nacionales, internacionales",1,0
30,"internacionales, semana",1,0
31,"semana, excepción",1,0
32,"excepción, evento",1,0
33,"evento, clave",1,0
34,"clave, semana",1,0
35,"semana, decisión",1,0
36,"decisión, reserva",1,0
37,"reserva, federal",2,0
38,"federal, tasas",1,0
39,"tasas, interés",1,0
40,"interés, mercado",1,0
41,"mercado, cree",1,0
42,"cree, anuncios",1,0
43,"anuncios, cerca",1,0
44,"cerca, finalización",1,0
45,"finalización, ciclo",1,0
46,"ciclo, subidas",1,0
47,"subidas, tasas",1,0
48,"tasas, unidos",1,0
49,"unidos, asegura",1,0
50,"asegura, david",1,0
51,"david, cubides",1,0
52,"cubides, director",1,0
53,"director, investigaciones",1,0
54,"investigaciones, económicas",1,0
55,"económicas, alianza",1,0
56,"alianza, entender",1,0
57,"entender, comportamiento",1,0
58,"comportamiento, dólar",2,0
59,"dólar, semana",1,0
60,"semana, analizar",1,0
61,"analizar, viernes",1,0
62,"enero, dólar",1,0
63,"dólar, comenzó",1,0
64,"comenzó, repuntar",1,0
65,"repuntar, semana",1,0
66,"semana, baja",1,0
67,"baja, navegando",1,0
68,"navegando, pesos",1,0
69,"pesos, comportamiento",1,0
70,"comportamiento, justo",1,0
71,"justo, anunciara",1,0
72,"anunciara, noche",1,0
73,"noche, jueves",1,0
74,"jueves, salida",1,0
75,"salida, felipe",1,0
76,"felipe, bayón",1,0
77,"bayón, presidencia",1,0
78,"presidencia, ecopetrol",1,0
79,"ecopetrol, marzo",1,0
80,"marzo, expertos",1,0
81,"expertos, aseguraron",2,0
82,"aseguraron, única",1,0
83,"única, razón",1,0
84,"razón, alza",1,0
85,"alza, moneda",1,0
86,"moneda, dividiéramos",1,0
87,"dividiéramos, subida",1,0
88,"subida, dólar",1,0
89,"dólar, frente",1,0
90,"frente, cierre",1,0
91,"cierre, jueves",1,0
92,"jueves, diría",1,0
93,"diría, reacción",1,0
94,"reacción, mercado",1,0
95,"mercado, salida",1,0
96,"salida, bayón",1,0
97,"bayón, ecopetrol",1,0
98,"ecopetrol, importante",1,0
99,"importante, catástrofe",1,0
100,"catástrofe, aplica",1,0
101,"aplica, especie",1,0
102,"especie, escepticismo",1,0
103,"escepticismo, inversionistas",1,0
104,"inversionistas, asegura",1,0
105,"asegura, wilson",1,0
106,"wilson, tovar",1,0
107,"tovar, gerente",1,0
108,"gerente, investigaciones",1,0
109,"investigaciones, firma",1,0
110,"firma, acciones",1,0
111,"acciones, sebastián",1,0
112,"sebastián, toro",1,0
113,"toro, trader",1,0
114,"trader, especialista",1,0
115,"especialista, economía",1,0
116,"economía, asesor",1,0
117,"asesor, renta",1,0
118,"renta, bolsa",1,0
119,"bolsa, presionando",1,0
120,"presionando, dólar",1,0
121,"dólar, alza",1,0
122,"alza, comunicado",1,0
123,"comunicado, presidente",1,0
124,"presidente, regulación",1,0
125,"regulación, servicios",1,0
126,"servicios, públicos",1,0
127,"públicos, comienza",1,0
128,"comienza, oler",1,0
129,"oler, control",1,0
130,"control, precios",1,0
131,"precios, funcionado",1,0
132,"funcionado, partes",1,0
133,"partes, subida",1,0
134,"subida, moneda",1,0
135,"moneda, enero",1,0
136,"enero, lunes",1,0
137,"lunes, martes",1,0
138,"martes, comenzando",1,0
139,"comenzando, semana",1,0
140,"semana, cifra",1,0
141,"cifra, veía",1,0
142,"veía, enero",1,0
143,"enero, expertos",1,0
144,"aseguraron, causa",1,0
145,"causa, reacciones",1,0
146,"reacciones, frente",1,0
147,"frente, anuncio",1,0
148,"anuncio, ecopetrol",1,0
149,"ecopetrol, reporte",1,0
150,"reporte, ministra",1,0
151,"ministra, minas",1,0
152,"minas, antesala",1,0
153,"antesala, subida",1,0
154,"subida, tasas",1,0
155,"tasas, llevó",1,0
156,"llevó, cabo",1,0
157,"cabo, miércoles",1,0
158,"miércoles, miércoles",1,0
159,"miércoles, reunión",1,0
160,"reunión, colombia",1,0
161,"colombia, volvió",1,0
162,"volvió, testigo",1,0
163,"testigo, leve",1,0
164,"leve, reducción",1,0
165,"reducción, divisa",1,0
166,"divisa, cerró",1,0
167,"cerró, toro",1,0
168,"toro, caímos",1,0
169,"caímos, piso",1,0
170,"piso, rebotamos",1,0
171,"rebotamos, piso",1,0
172,"piso, gente",1,0
173,"gente, anuncios",1,0
174,"anuncios, reserva",1,0
175,"federal, esperados",1,0
176,"esperados, incrementando",1,0
177,"incrementando, tasas",1,0
178,"tasas, puntos",1,0
179,"puntos, básicos",1,0
180,"básicos, evidenciando",1,0
181,"evidenciando, baja",1,0
182,"baja, aumento",1,0
183,"aumento, reunión",1,0
184,"reunión, consecutiva",1,0
185,"consecutiva, banco",1,0
186,"banco, central",1,0
187,"central, mantuvo",1,0
188,"mantuvo, materia",1,0
189,"materia, costos",1,0
190,"costos, endeudamiento",1,0
191,"endeudamiento, nivel",1,0
192,"nivel, alto",1,0
193,"alto, jueves",1,0
194,"jueves, dólar",1,0
195,"dólar, volvió",1,0
196,"volvió, sorprender",1,0
197,"sorprender, cerrando",1,0
198,"cerrando, promedio",1,0
199,"promedio, comportamiento",1,0
200,"comportamiento, vera",1,0
