,Palabra,Frecuencia,ID_Articulo,Entidad
0,movimiento,2,0,0
1,dólar,8,0,0
2,semanas,1,0,0
3,atrás,1,0,0
4,venía,1,0,0
5,mostrando,1,0,0
6,comportamientos,2,0,0
7,bajistas,1,0,0
8,constantes,1,0,0
9,viernes,3,0,0
10,enero,4,0,0
11,sorprendió,1,0,0
12,leve,2,0,0
13,repunte,2,0,0
14,presentó,1,0,0
15,miércoles,3,0,0
16,febrero,1,0,0
17,fecha,1,0,0
18,comenzó,2,0,0
19,caer,1,0,0
20,nuevamente,1,0,0
21,comportamiento,6,0,0
22,duró,2,0,0
23,volatilidad,1,0,0
24,moneda,6,0,0
25,viene,1,0,0
26,acompañada,1,0,0
27,serie,1,0,0
28,sucesos,1,0,0
29,nacionales,1,0,0
30,internacionales,1,0,0
31,semana,5,0,0
32,excepción,1,0,0
33,evento,1,0,0
34,clave,1,0,0
35,decisión,1,0,0
36,reserva,2,0,0
37,federal,2,0,0
38,tasas,8,0,0
39,interés,1,0,0
40,mercado,3,0,0
41,cree,1,0,0
42,anuncios,2,0,0
43,cerca,1,0,0
44,finalización,1,0,0
45,ciclo,1,0,0
46,subidas,1,0,0
47,unidos,2,0,0
48,asegura,3,0,0
49,david,1,0,0
50,cubides,1,0,0
51,director,1,0,0
52,investigaciones,2,0,0
53,económicas,1,0,0
54,alianza,1,0,0
55,entender,1,0,0
56,analizar,1,0,0
57,repuntar,1,0,0
58,baja,2,0,0
59,navegando,1,0,0
60,pesos,2,0,0
61,justo,1,0,0
62,anunciara,1,0,0
63,noche,1,0,0
64,jueves,4,0,0
65,salida,2,0,0
66,felipe,1,0,1
67,bayón,2,0,0
68,presidencia,1,0,0
69,ecopetrol,3,0,0
70,marzo,1,0,0
71,expertos,3,0,0
72,aseguraron,2,0,0
73,única,1,0,0
74,razón,1,0,0
75,alza,2,0,0
76,dividiéramos,1,0,0
77,subida,3,0,0
78,frente,3,0,0
79,cierre,2,0,0
80,diría,1,0,0
81,reacción,1,0,0
82,importante,2,0,0
83,catástrofe,1,0,0
84,aplica,1,0,0
85,especie,1,0,0
86,escepticismo,1,0,0
87,inversionistas,1,0,0
88,wilson,1,0,0
89,tovar,1,0,0
90,gerente,1,0,0
91,firma,1,0,0
92,acciones,4,0,0
93,sebastián,1,0,0
94,toro,2,0,0
95,trader,1,0,0
96,especialista,1,0,0
97,economía,1,0,0
98,asesor,1,0,0
99,renta,1,0,0
100,bolsa,1,0,0
101,presionando,1,0,0
102,comunicado,1,0,0
103,presidente,1,0,0
104,regulación,1,0,0
105,servicios,1,0,0
106,públicos,1,0,0
107,comienza,1,0,0
108,oler,1,0,0
109,control,1,0,0
110,precios,1,0,0
111,funcionado,1,0,0
112,partes,1,0,0
113,lunes,1,0,0
114,martes,1,0,0
115,comenzando,1,0,0
116,cifra,1,0,0
117,veía,1,0,0
118,causa,1,0,0
119,reacciones,1,0,0
120,anuncio,1,0,0
121,reporte,1,0,0
122,ministra,1,0,0
123,minas,1,0,0
124,antesala,1,0,0
125,llevó,1,0,0
126,cabo,1,0,0
127,reunión,2,0,0
128,colombia,2,0,1
129,volvió,2,0,0
130,testigo,1,0,0
131,reducción,1,0,0
132,divisa,2,0,0
133,cerró,1,0,0
134,caímos,1,0,0
135,piso,2,0,0
136,rebotamos,1,0,0
137,gente,1,0,0
138,esperados,1,0,0
139,incrementando,1,0,0
140,puntos,1,0,0
141,básicos,1,0,0
142,evidenciando,1,0,0
143,aumento,1,0,0
144,consecutiva,1,0,0
145,banco,1,0,0
146,central,1,0,0
147,mantuvo,1,0,0
148,materia,1,0,0
149,costos,1,0,0
150,endeudamiento,1,0,0
151,nivel,1,0,0
152,alto,1,0,0
153,sorprender,1,0,0
154,cerrando,1,0,0
155,promedio,1,0,0
156,vera,1,0,0
157,nieto,1,0,0
158,economista,1,0,0
159,jefe,1,0,0
160,capital,2,0,0
161,explica,1,0,0
162,bancos,1,0,0
163,centrales,1,0,0
164,subieron,1,0,0
165,magnitud,1,0,0
166,dando,1,0,0
167,menor,1,0,0
168,percepción,1,0,0
169,riesgo,1,0,0
170,favorecen,1,0,0
171,compras,1,0,0
172,países,1,0,0
173,emergentes,1,0,0
174,paga,1,0,0
175,altas,2,0,0
176,dicha,1,0,0
177,abrió,1,0,0
178,vigente,1,0,0
179,vimos,1,0,0
180,demanda,1,0,0
181,dólares,3,0,0
182,valorizado,1,0,0
183,significativamente,1,0,0
184,apetito,1,0,0
185,inversiones,1,0,0
186,mercados,1,0,0
187,globales,1,0,0
188,indica,1,0,0
189,tecnológicas,1,0,0
190,jugando,1,0,0
