,Palabra,Entidad,Empresa,Apariciones
0,presidente,0,Ecopetrol,78
1,empresa,0,Ecopetrol,73
2,ecopetrol,1,Ecopetrol,71
3,país,0,Ecopetrol,66
4,compañía,0,Ecopetrol,65
5,petrolera,0,Ecopetrol,61
6,gobierno,0,Ecopetrol,53
7,marzo,0,Ecopetrol,52
8,bancolombia,1,Bancolombia,52
9,ecopetrol,0,Ecopetrol,48
10,caracol,0,Caracol,47
11,directiva,0,Ecopetrol,47
12,junta,0,Ecopetrol,45
13,país,0,Enel,45
14,general,0,Ecopetrol,45
15,colombia,1,Ecopetrol,45
16,bayón,0,Ecopetrol,44
17,importante,0,Ecopetrol,43
18,accionistas,0,Ecopetrol,43
19,millones,0,Ecopetrol,43
20,grupo,0,Ecopetrol,42
21,abril,0,Ecopetrol,42
22,falabella,0,Falabella,41
23,nequi,1,Nequi,41
24,años,0,Ecopetrol,41
25,petróleo,0,Ecopetrol,41
26,petro,0,Ecopetrol,40
27,enel,0,Enel,39
28,gustavo,0,Ecopetrol,39
29,credibanco,0,Credibanco,38
30,energía,0,Ecopetrol,38
31,bogotá,1,Ecopetrol,38
32,asamblea,0,Ecopetrol,38
33,producción,0,Ecopetrol,38
34,billones,0,Ecopetrol,38
35,colombia,1,Falabella,37
36,empresas,0,Ecopetrol,37
37,energía,0,Enel,37
38,bogotá,1,ETB,37
39,sector,0,Ecopetrol,37
40,acciones,0,Ecopetrol,36
41,entidad,0,Bancolombia,36
42,nacional,0,Ecopetrol,36
43,banco,0,Bancolombia,36
44,industria,0,Ecopetrol,35
45,empresa,0,ETB,35
46,energética,0,Ecopetrol,35
47,precio,0,Ecopetrol,35
48,banco,0,BBVA,35
49,cencosud,0,Cencosud,35
50,mercado,0,Ecopetrol,34
51,país,0,Falabella,34
52,colombia,1,BBVA,33
53,personas,0,Nequi,33
54,país,0,BBVA,33
55,proceso,0,Ecopetrol,32
56,momento,0,Ecopetrol,32
57,país,0,Credibanco,32
58,dinero,0,Nequi,32
59,colombiana,0,Ecopetrol,32
60,personas,0,Caracol,31
61,años,0,Enel,31
62,personas,0,Bancolombia,30
63,comercio,0,Ecopetrol,30
64,presidente,0,ETB,30
65,pagos,0,Credibanco,30
66,años,0,Caracol,30
67,millones,0,Credibanco,30
68,resultados,0,Ecopetrol,30
69,años,0,Claro,29
70,crédito,0,Bancolombia,29
71,cargo,0,Ecopetrol,29
72,transacciones,0,Credibanco,29
73,usuarios,0,Nequi,29
74,presidente,0,Enel,29
75,estatal,0,Ecopetrol,29
76,bbva,1,BBVA,29
77,colombia,1,Cencosud,29
78,felipe,0,Ecopetrol,28
79,grupo,0,Grupo Argos,28
80,millones,0,Bancolombia,28
81,transición,0,Ecopetrol,28
82,tiendas,0,Falabella,28
83,nacional,0,Enel,28
84,pago,0,Credibanco,28
85,millones,0,ETB,28
86,país,0,ETB,28
87,compañía,0,Falabella,28
88,frente,0,Ecopetrol,28
89,empresa,0,Enel,28
90,momento,0,Claro,28
91,telecomunicaciones,0,ETB,27
92,semana,0,Ecopetrol,27
93,precios,0,Ecopetrol,27
94,gobierno,0,ETB,27
95,crédito,0,Credibanco,27
96,dólares,0,Ecopetrol,27
97,país,0,Alkosto,27
98,valor,0,Ecopetrol,27
99,años,0,Falabella,27
100,país,0,Bancolombia,27
101,proyecto,0,Ecopetrol,27
102,empresas,0,Enel,26
103,presidencia,0,Ecopetrol,26
104,productos,0,Credibanco,26
105,desarrollo,0,Ecopetrol,26
106,colombia,1,Enel,26
107,información,0,Ecopetrol,26
108,hidrocarburos,0,Ecopetrol,26
109,cerca,0,Ecopetrol,26
110,redes,0,Caracol,26
111,generación,0,Enel,26
112,servicios,0,BBVA,26
113,compras,0,Credibanco,25
114,colombia,1,Bancolombia,25
115,investigación,0,Ecopetrol,25
116,sector,0,Enel,25
117,país,0,Nequi,25
118,ministerio,0,Ecopetrol,25
119,juan,0,Ecopetrol,25
120,comercio,0,Credibanco,25
121,bancos,0,Bancolombia,25
122,alto,0,Ecopetrol,25
123,personas,0,D1,25
124,gobierno,0,Enel,25
125,momento,0,Caracol,24
126,presidente,0,Credibanco,24
127,entidad,0,BBVA,24
128,saúl,0,Ecopetrol,24
129,acción,0,Ecopetrol,24
130,sociales,0,Claro,24
131,principal,0,Ecopetrol,24
132,financiera,0,Bancolombia,24
133,internacional,0,Ecopetrol,24
134,vida,0,Claro,24
135,personas,0,Alkosto,24
136,banco,0,Davivienda,24
137,mundo,0,Enel,24
138,decisión,0,Ecopetrol,24
139,interés,0,Bancolombia,24
140,grupo,0,Grupo AVAL,24
141,millones,0,BBVA,24
142,tiempo,0,Ecopetrol,24
143,años,0,ETB,24
144,exploración,0,Ecopetrol,24
145,redes,0,Claro,24
146,pública,0,Claro,24
147,superintendencia,0,Ecopetrol,24
148,actual,0,Ecopetrol,23
149,hacienda,0,Ecopetrol,23
150,grupo,0,Bancolombia,23
151,años,0,Terpel,23
152,colombia,1,Nequi,23
153,colombia,1,Alkosto,23
154,aplicación,0,Nequi,23
155,empresas,0,ETB,23
156,bolsa,0,Ecopetrol,23
157,kattan,0,Ecopetrol,23
158,ventas,0,Falabella,23
159,funcionarios,0,Ecopetrol,23
160,ventas,0,Credibanco,23
161,director,0,Ecopetrol,23
162,economía,0,Ecopetrol,23
163,personas,0,BBVA,23
164,crédito,0,BBVA,23
165,temas,0,Ecopetrol,22
166,ciento,0,Credibanco,22
167,jueves,0,Ecopetrol,22
168,estrategia,0,Ecopetrol,22
169,radio,0,Caracol,22
170,país,0,Vanti,22
171,davivienda,0,Davivienda,22
172,interés,0,BBVA,22
173,colombianos,0,Bancolombia,22
174,país,0,Terpel,22
175,gobierno,0,Credibanco,22
176,país,0,Cencosud,22
177,tarjetas,0,Credibanco,22
178,miércoles,0,Ecopetrol,22
179,servicios,0,Nequi,22
180,bbva,0,BBVA,22
181,desarrollo,0,Enel,22
182,colombia,1,Credibanco,22
183,universidad,0,Ecopetrol,22
184,proyecto,0,ETB,22
185,pesos,0,Credibanco,22
186,medida,0,Ecopetrol,22
187,plataforma,0,Nequi,22
188,compañía,0,ETB,22
189,alberto,0,Ecopetrol,22
190,público,0,ETB,22
191,sociales,0,Caracol,22
192,bancos,0,BBVA,22
193,semana,0,Caracol,22
194,millones,0,Falabella,22
195,marzo,0,Bancolombia,22
196,crecimiento,0,Ecopetrol,22
197,años,0,Alkosto,22
198,mercado,0,Falabella,22
199,contratos,0,Ecopetrol,22
200,informe,0,Ecopetrol,22
201,importante,0,ETB,21
202,clientes,0,Bancolombia,21
203,competencia,0,Ecopetrol,21
204,vivienda,0,Davivienda,21
205,tasas,0,BBVA,21
206,ingresos,0,Ecopetrol,21
207,frente,0,Enel,21
208,tiempo,0,Credibanco,21
209,crecimiento,0,BBVA,21
210,meses,0,Ecopetrol,21
211,compañía,0,Enel,21
212,nivel,0,Ecopetrol,21
213,pago,0,Nequi,21
214,gestión,0,Ecopetrol,21
215,colombia,1,Promigas,21
216,colombia,0,Ecopetrol,21
217,tiempo,0,Caracol,21
218,relación,0,Claro,21
219,caso,0,Bancolombia,21
220,servicios,0,ETB,21
221,firma,0,Ecopetrol,21
222,gobierno,0,Terpel,21
223,gobierno,0,Claro,21
224,mercado,0,Enel,21
225,electrónico,0,Credibanco,21
226,nacional,0,Terpel,21
227,débito,0,Credibanco,21
228,empresa,0,Falabella,21
229,personas,0,Enel,21
230,millones,0,Enel,21
231,pesos,0,Nequi,21
232,nacional,0,Promigas,21
233,utilidades,0,Ecopetrol,21
234,millones,0,Alkosto,21
235,operaciones,0,Ecopetrol,21
236,personas,0,Credibanco,21
237,productos,0,Alkosto,21
238,compra,0,Credibanco,21
239,futuro,0,Ecopetrol,20
240,economía,0,Credibanco,20
241,economía,0,BBVA,20
242,comercios,0,Credibanco,20
243,importante,0,BBVA,20
244,ejemplo,0,Ecopetrol,20
245,tiempo,0,Nequi,20
246,aval,0,Grupo AVAL,20
247,visita,0,Ecopetrol,20
248,país,0,Promigas,20
249,información,0,Claro,20
250,tasa,0,Bancolombia,20
251,programa,0,Caracol,20
252,tiempo,0,Davivienda,20
253,sociales,0,Nequi,20
254,información,0,ETB,20
255,colombianos,0,BBVA,20
256,josé,0,Ecopetrol,20
257,trabajadores,0,Ecopetrol,20
258,productos,0,BBVA,20
259,forma,0,Claro,20
260,periodista,0,Caracol,20
261,horas,0,Ecopetrol,20
262,empresas,0,Falabella,20
263,años,0,Promigas,20
264,sector,0,BBVA,20
265,empresas,0,Cencosud,20
266,medios,0,Claro,20
267,servicios,0,Credibanco,20
268,caso,0,Ecopetrol,20
269,caso,0,ETB,20
270,personas,0,Ecopetrol,20
271,promedio,0,Credibanco,20
272,alza,0,Ecopetrol,20
273,financiero,0,Bancolombia,20
274,juan,0,Caracol,20
275,colombianos,0,Credibanco,20
276,momento,0,Enel,20
277,país,0,Davivienda,20
278,colombianos,0,Falabella,20
279,millones,0,Nequi,19
280,inflación,0,Bancolombia,19
281,comunicado,0,Ecopetrol,19
282,recibir,0,Nequi,19
283,miembros,0,Ecopetrol,19
284,forma,0,BBVA,19
285,presidente,0,Bancolombia,19
286,nacional,0,Credibanco,19
287,nacional,0,Claro,19
288,personas,0,Sodimac,19
289,empresas,0,BBVA,19
290,crecimiento,0,Credibanco,19
291,servicios,0,Bancolombia,19
292,valores,0,Ecopetrol,19
293,años,0,Itau,19
294,tiempo,0,ETB,19
295,tercer,0,Terpel,19
296,años,0,Vanti,19
297,alkosto,1,Alkosto,19
298,caso,0,Nequi,19
299,grupo,0,Grupo Sura,19
300,vida,0,Caracol,19
301,servicio,0,Nequi,19
302,clientes,0,Falabella,19
303,importante,0,Nequi,19
304,tasas,0,Bancolombia,19
305,entidad,0,Ecopetrol,19
306,tarjetas,0,Bancolombia,19
307,proceso,0,ETB,19
308,unidos,0,Ecopetrol,19
309,pesos,0,ETB,19
310,años,0,D1,19
311,tiempo,0,Promigas,19
312,pesos,0,Ecopetrol,19
313,mercado,0,BBVA,19
314,vicepresidente,0,Ecopetrol,19
315,shakira,1,Claro,19
316,anual,0,Bancolombia,19
317,colombia,1,Terpel,19
318,valor,0,Falabella,19
319,nacional,0,Alkosto,19
320,agosto,0,Alkosto,19
321,años,0,Grupo Argos,19
322,financiero,0,Ecopetrol,19
323,ejecutivo,0,Ecopetrol,19
324,economía,0,Bancolombia,19
325,caso,0,Caracol,19
326,pagar,0,Nequi,18
327,experiencia,0,Ecopetrol,18
328,caso,0,Enel,18
329,sistema,0,Enel,18
330,medios,0,Credibanco,18
331,tema,0,Ecopetrol,18
332,cierre,0,Ecopetrol,18
333,negocios,0,Credibanco,18
334,grupo,0,Cencosud,18
335,chía,0,Claro,18
336,sede,0,Ecopetrol,18
337,usuarios,0,Claro,18
338,felipe,1,Ecopetrol,18
339,anunció,0,Falabella,18
340,éxito,0,Cencosud,18
341,presidente,0,Grupo Argos,18
342,directivo,0,Ecopetrol,18
343,gustavo,0,ETB,18
344,dividendos,0,Ecopetrol,18
345,aumento,0,Ecopetrol,18
346,años,0,Davivienda,18
347,enero,0,Ecopetrol,18
348,tasa,0,BBVA,18
349,electrónicos,0,Credibanco,18
350,clara,0,Claro,18
351,usuarios,0,Bancolombia,18
352,permite,0,Nequi,18
353,barril,0,Ecopetrol,18
354,llevó,0,Ecopetrol,18
355,tiendas,0,D1,18
356,compras,0,Falabella,18
357,empresa,0,D1,18
358,nacional,0,Nequi,18
359,comercio,0,Alkosto,18
360,distribución,0,Ecopetrol,18
361,presidente,0,Falabella,18
362,barriles,0,Ecopetrol,18
363,tiempo,0,Bancolombia,18
364,control,0,ETB,18
365,público,0,Enel,18
366,personas,0,Falabella,18
367,lugar,0,D1,18
368,créditos,0,Bancolombia,18
