topic,text,cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6
Ecopetrol,"Ecopetrol arrived this Thursday, August 25, at its 71st anniversary and, as part of this celebration, announced that it plans to invest between 65 billion pesos and 76 billion pesos in the next two years (2022-2024) in order to contribute to the revitalization of the economy in Colombia. This investment plan includes nearly six billion pesos in projects for circular water management, decarbonization, energy efficiency, use of energy and alternative sources, improvement in the quality of fuels, and studies and green and blue hydrogen pilots for applications in refineries and mobility. Ecopetrol has focused its energy transition strategy on the incorporation of renewable energy sources for self-consumption, taking advantage of wind, solar and geothermal energy technologies, while strengthening programs of socio-environmental investment, the deepening of the digital transformation and the development and implementation of technologies to optimize its operations. ones.“By 2030 we are going to complete 50 eco-reserves, we will have ten solar parks and we will be an important player in the production of green hydrogen, among other initiatives. In addition, we have the firm intention of making alliances with the communities to develop energy projects. We are sure that we will meet the goal of being a water-neutral company by 2045 and with zero carbon emissions by 2050,"" said Felipe Bayón Pardo, president of Ecopetrol. Ecopetrol's 71st anniversary coincides with the 15th birthday of the Iguana, the brand that arrived in 2007 to replace the Tunjo, the representative figure of Muisca art that for more than 40 years was part of the company's logo. The Iguana arrived hand in hand with the shareholding democratization process carried out by Ecopetrol in the 2007, which included internationalization, entry into biofuels, a substantial increase in investment and a greater emphasis on environmental and social issues. share on the Colombian Stock Exchange (BVC), where it registers a fall of 1.42% after the opening and is listed on 2,400 pesos. The share of the Colombian oil company opened this sea tes at 2,480 pesos and began a downward trend, which currently has it at a price of 2,425 pesos. Compared to this Wednesday's closing price, which was 2,460 pesos, it is losing about 35 pesos. Right now, with a share price of 2,425 pesos, Ecopetrol's stock market value exceeds 99.7 billion pesos, which is the price that a person would have to pay if they wanted to buy the company on the Colombian Stock Exchange at that time. of 329 pesos (11.92%) after the uncertainty generated in the market by the election of Gustavo Petro as president of Colombia. It is important to bear in mind that this type of company is also hit hard by the international environment, particularly the price of oil and gas, in addition to other exogenous variables, such as the crisis caused by the war between Russia and Ukraine. On Wednesday, oil prices closed at their highest level in almost a month, after learning of a drop greater than expected of the commercial oil reserves of the United States, in addition to the prospect of a production cut by Opec. The price of a barrel of Brent (the reference for Colombia) from the North Sea for delivery in October gained 0.99% and it hit $101.22, the highest since July 29. Meanwhile, the barrel of West Texas Intermediate (WTI) for October gained 1.22% and closed at 94.89 dollars.",False,True,False,False,False,False,False
Ecopetrol,"The risk rating firm Moody's Investors Service announced this Wednesday -August 24- that it maintained the Baa3 senior unsecured ratings of Ecopetrol S.A. and that it lowered Ecopetrol's Benchmark Credit Assessment (BCA) to ba3 from ba1 due to the company's high refinancing risk. This, according to the report presented by this company, is the result of an aggressive financial policy, in a context of high global geopolitical risk and volatile commodity prices, as well as a weaker government policy framework. The outlook on the ratings remains negative. “The downgrade of Ecopetrol's Benchmark Credit Assessment (a measure of the company's intrinsic credit risk without supporting considerations) to ba3 from ba1 was primarily based on the long time the company had been has taken to refinance nearly $5.1 billion in debt maturing in September 2023″, indicated the rating agency. One point that draws attention in the reasons why this firm lowered the rating of state oil company is that some of these were based in the ideas with which the new government, of Gustavo Petro, arrives, especially with regard to the change of the productive model in the country to give greater force to the use of clean energies. “The downgrade of BCA also considered energy and environmental priorities from the new government, which may include changes such as restrictions on exploration and production based on hydraulic fracturing in Colombia; limitations on new concessions or permits for oil exploration; and new taxes on the oil and gas industry, according to the tax reform proposal,” he added. However, according to Moody's, Ecopetrol's Baa3 ratings continue to reflect the company's status as the leading oil and gas producer in Colombia, which represents more than 60% of the country's production and close to 100% of the supply of petroleum products, as well as its important power transmission business in Colombia and other countries. “Ecopetrol's refinancing risk is high but manageable . Strong oil and gas prices have helped Ecopetrol's cash generation in 2021-22. For 2023-2024, Moody's believes that, based on an estimated average Brent price of $68-58 dollars per barrel, the company's cash flow will decrease with respect to 2022 levels”, highlighted this risk agency. , despite the volatility of the prices of raw materials, this rating agency believes that the company will be able to meet its financial obligations in 2023 with the support of access to the global and Colombian capital markets, its committed bank credit line of $ 1.2 billion available through August 2023; and government support, bearing in mind that it is one of the State's largest assets. According to Moody's, Ecopetrol's rating outlook would stabilize if the company could refinance upcoming debt maturities in a timely manner. In turn, an upgrade of Ecopetrol's ba3 BCA or Baa3 rating is unlikely in the next 12 months given the rating's negative outlook. “However, if the company manages to strengthen its financial policies and, at the same time, demonstrate the ability to reduce financial leverage while increasing production and keeping the useful life of proven reserves stable, its rating could improve”, explained this firm. Finally, the risk rating firm warned that a downgrade in ratings could occur if Ecopetrol faces liquidity restrictions; if its reserve life decreases significantly on a sustained basis; or if the retained cash flow/net debt declines to around 20%.“Furthermore, because Ecopetrol's ratings benefit from implicit support from the Government of Colombia, a",False,False,True,False,False,False,False
Ecopetrol,"In the last few hours, a document sent by the Santander Alliance was made known, where the government of the department, the parliamentary caucus, mayors, deputies, union leaders, representatives of the private sector and university rectors, request President Gustavo Petro , a representation in the general direction of Cormagdalena and in the board of directors of Ecopetrol. This initiative is given as a result of the fact that in Santander the navigability along the Magdalena River would generate that the cargo transported would increase from 3 to 19 million tons a year, this as a product of the mobility of dry merchandise such as steel, corn, wheat and fertilizers, among others. “For Colombia and for Santander, the navigability along the Magdalena River is a historical debt that does not admit waiting. Hence, we celebrate the commitment to the recovery of the sustainable navigability of rivers, as the government program ""Colombia: world power of life"" mentions, the document outlines. These representatives argue in the text that this means of transport It is the cleanest with the environment, where the number of greenhouse gas emissions is reduced by more than 60% compared to land mode, generating a reduction of up to 40% in logistics costs, which allows solutions to be implemented for alleviate hunger in a situation of high inflation, particularly in food. For their part, they clarify that the most important thing is that this project will contribute significantly by giving opportunities to the Magdalena Medio region, which, as the Final Report of the Commission of Truth, has been the epicenter of the Colombian armed conflict. “This region needs real opportunities for development. The navigability of the river, particularly with the construction of the rigid works between Barrancabermeja and Pinillos, would make it possible to boost tourism, the construction of shipyards, the extraction of quarry material and intermodality with a view to industrialization with projects of great impact in sectors such as energy and agribusiness. The geographical location of Magdalena Medio makes it a propitious territory to connect Colombia with the world through the articulation of river, land and rail transport modes”, reads part of the letter. However, the Minister of Transport, Guillermo Reyes referred to this situation, emphasizing that the Cormagdalena headquarters was going to be moved to the Caribbean coast, but after these announcements, the Alliance for Santander responded: ""We firmly believe that the headquarters is where it should be: in Barrancabermeja, the heart of the Magdalena River. However, its general direction has been in charge during the last years of people from outside this region, who have not shown the appropriation and the sufficient commitment to recover and maintain the navigability of the Magdalena River”. Likewise, the document mentions the reasons why they ask that Santander be inside the board of directors of Ecopetrol, since they emphasize that oil was born in said territory and that therefore the energy transition must be born. is Ecopetrol, and which in turn has shown a great commitment to combining technology with sustainability. Today the hydrocarbon industry in the department provides more than 22,000 jobs, benefiting about 100,000 people, and generating royalties of $340,000 million a year,” the document states. It should be noted that the Barrancabermeja Refinery (RB ), this being the oldest in the country, mobilizing the national economy with its fuel production. Today the BR produces more than 50% of Colombia's fuel, energy with increasingly lower levels of pollution. “Gasoline and diesel went from containing between 1,000 and 4,000 parts per million sulfur (ppm), respectively, to less than 50 ppm and is expected to reach",False,False,False,False,False,True,False
Ecopetrol,"The Colombian Stock Exchange began this Thursday, August 25, with a good rhythm, in which its different indicators continue to rebound, amid the tense calm among investors due to the international situation faced by the great economic powers. of the world due to inflation and the fall in its production. According to the reports after the opening of the markets, the MSCI Colcap index stood at 1,294.18 units, 0.17% above the 1,291 that mark the benchmark for today, after yesterday's unexpected upside close. Although this growth is slight, in just an hour the indicator was already above 1,300 several times. In last Wednesday's session, Colcap ended at 1,291.98 units, 0.19% above the 1,289 that were in reference. However, it is noteworthy that throughout that day it reached highs of 1,307 (around 10 in the morning) and then began to fall to the aforementioned result. “The market is waiting for the comments that may be given from some members of the Fed, who are confirming the aggressiveness with which they are going to continue raising interest rates to combat inflation, thus promoting the recession that would bring the pressure that will be removed from prices”, said Juan Eduardo Nates, Credicorp Capital analyst. The attention of investors in Colombia will focus today on the performance of Ecopetrol, which falls after the downgrade in the rating announced by the Moody's rating agency and is located at a value per share of 2,425 pesos, which translates into a drop of -1.42%. With this, the good streak that the state oil company has brought during the week is broken. The risk agency Moody's Investors Service announced yesterday, Wednesday, August 24, that it maintained the Baa3 senior unsecured ratings of Ecopetrol S.A. and that it downgraded Ecopetrol's Benchmark Credit Assessment (BCA) to ba3 from ba1, due to the company's high refinancing risk. One point that draws attention in the reasons why this firm downgraded the state oil company rating is that some of these were based on the ideas with which the new government, of Gustavo Petro, arrives, especially with regard to the change of the productive model in the country to give greater force to the use of clean energies. “The reduction of BCA also considered the energy and environmental priorities of the new government, which may include changes such as restrictions on exploration and production based on hydraulic fracturing in Colombia; limitations on new concessions or permits for oil exploration; and new taxes on the oil and gas industry, according to the tax reform proposal”, he added. On the other hand, regarding business indicators, the preferred unit of Grupo Aval is ranked as the most valued stock at the moment , after growing 5.04% and trading at a share price of 730 pesos. This is followed by Bancolombia (4.03%), Celsia (2.81%), Grupo Argos (1.94%) and Canacol Energy (0.96%). ""In the case of today's data, we saw a US GDP measure that was expected to come out -0.7%, a decrease and came out -0.6%; which shows that everything is in line with what was expected with the rise in interest rates. In any case, we also see an indication of prices that is beginning to slow down in personal consumption,” added the Credicorp Capital analyst. For the group of the most undervalued, this is headed by Ecopetrol, with the aforementioned values, followed by the preferred share of Corficolombiana, which fell -1.21%, Cementos Argos (-0.43%) and Grupo Aval, which contrary to what happens with the preferred unit, fell -0.24%.",False,False,True,False,False,False,False
Ecopetrol,"Ecopetrol's stock is registering a strong rise during the day on Tuesday in the Colombian Stock Exchange (BVC). After the opening, which took place at 8:30 a.m. m., the value of its title is rising 4.61% and again exceeded 2,400 pesos. The share of the Colombian oil company opened this Tuesday at 2,329 pesos and began an upward trend that stopped when it reached its highest price of the day : 2,425 pesos. Currently, it is trading at 2,404 pesos, earning about 106 pesos compared to the closing price of this Monday, August 22, which was 2,298 pesos. At this time, with a share price of 2,404 pesos, Ecopetrol's stock market value exceeds 98.8 billion pesos, which is the price that a person would have to pay if they wanted to buy the company on the Colombian Stock Exchange at that time. Last June 21 was the last time that the largest company's stock and productive of Colombians managed to close on 2,400 pesos, after suffering a collapse of 329 pesos (11.92%) after the uncertainty generated in the market by the election of Gustavo Petro as president of Colombia. Ecopetrol's minority shareholders are more than 254,000 Colombians who invested their savings in the company, while the Nation is the majority shareholder and retains 88.49% of the total shares.",False,True,False,False,False,False,False
Ecopetrol,"The Minister of Finance, José Antonio Ocampo, told SEMANA what the new tax reform will be in the country, in addition to the future of macroeconomic policy in Colombia during the government of Gustavo Petro on such controversial issues as fracking and Ecopetrol. On this issue, Ocampo said that at some point they will begin to change Ecopetrol's board of directors, but that they do not expect to make such a big change, since at the moment they only expect to ask two people to resign, one of them is Luigi Echeverri, a person very close to former president Iván Duque. The controversy came when he was asked about the future of Felipe Bayón, president of Ecopetrol, whom Ocampo considered ""a great technician"" and who has had very good results. “The first semester went very well, among other things, due to the good situation of international oil prices. For the Government it is a great benefit that the extraordinary profits of the first half of the year have been obtained.” But regarding the practice of fracking, that is precisely the great objection that the Minister of Finance has with the president of Ecopetrol. “Let's say, perhaps, that Dr. Bayón should not have come out to defend fracking, because we are against it. It is a government policy. Ecopetrol is going to have to get into the idea that there is not going to be fracking.” On the other hand, Ocampo said that the Petro government and he, at the head of the Ministry of Finance, want to protect Ecopetrol in every way possible so that don't waste money. “I'm taking care of Ecopetrol. It is our great company, the number one in Colombia. For the Government, Ecopetrol is one of the treasures that we have to keep and improve as much as possible. It is a treasure of Colombia”. Likewise, he said that there must be greater incentives in renewable energies for the future. “The company is already involved in alternative energies and green hydrogen, which do not generate climate change problems. That's a whole line. In addition, recent gas discoveries have been very positive because in Colombia we have a much greater gas deficit than oil,"" said Minister Ocampo. Read the full interview below: VICKY DÁVILA: Minister, is carrying out a tax reform a pork rinds? JOSÉ ANTONIO OCAMPO: It is a difficult task because we have two different challenges. Finish the fiscal adjustment that has been incomplete under the previous government, although it improved significantly this year, and, on the other hand, finance the programs of the new government. V.D.: You are a very serious man. That is why I want to ask you if it is true that the Duque Government left the pot scratched. J.O.: I would not use that term. The truth is that I don't like it. But let's say there was an incomplete fiscal adjustment. The deficit is 5.6%. In addition, we have a deficit in the Fuel Price Stabilization Fund that is 3% of GDP. The total deficit is very large, and the public debt, which has been falling, is still one of the highest in history. It is more than 60% of the GDP. V.D.: Is that high deficit due to inefficiency of the previous government or because of the economic crisis that the pandemic brought? J.O.: I would say that the number one cause was the pandemic. V.D.: Some are comparing the reform of the Petro Government with that of Carrasquilla. Is it a fable or a joke? J.O.: A total fable. V.D.: Aren't they comparable? J.O.: No. The focus of our reform is different. We are not making some of the mistakes that Minister Carrasquilla made and they were the ones that generated popular protest. V.D.: During the campaign it was said that the reform was going to raise 50 billion pesos, then it could be 75 and in the end it was 25. What happened? J.O.: Strictly, there are 25. But since there are many regulations on tax evasion, we hope that this amount will increase and that, by the end of the government, we will reach 50 billion annually. We are in that objective. V.D.: Some experts say that it is",False,False,False,False,True,False,False
Ecopetrol,"In dialogue with SEMANA, the Minister of Finance, José Antonio Ocampo, spoke about several issues that concern the country about the future of President Gustavo Petro's macroeconomic agenda. Among the things that the official told was the future of the Ecopetrol board and its president, Felipe Bayón. Ocampo said that, although they are going to form a new board in Ecopetrol, the changes would not be so great, since until now there is only talk that they will ask for two resignations, one of them that of Luigi Echeverri, close to former president Iván Duque. On the side of Felipe Bayón, president of the company, he could have another destiny. According to Minister Ocampo, it could happen that Bayón stays at Ecopetrol because, personally, he considers him ""a great technician"" and is having a great time aboard the company. business. “The first semester went very well, among other things, due to the good situation of international oil prices. For the government it is a great benefit that the extraordinary profits of the first half of the year have been obtained”, he says. Finally, Ocampo says that the only objection he has against Bayón and Ecopetrol were certain statements that he did not like. “Let's say that perhaps Dr. Bayón should not have come out to defend fracking, because we are against it. It is a government policy. Ecopetrol is going to have to get into the idea that there is going to be no fracking,” said the Finance Minister.",False,False,False,False,True,False,False
Ecopetrol,"The Minister of Finance, José Antonio Ocampo, announced important changes in Ecopetrol. In dialogue with Vicky Dávila, the head of that portfolio assured that there are two members of the Ecopetrol board who are going to be asked to resign. He assured that this will be done at the next meeting that they convene and that they hope to start with that request. When asked by the director of SEMANA about whether Luigi Echeverri, the president of the board, is one of the two in the crosshairs, Minister Ocampo he answered without hesitation. “That's one of the resignations we're going to ask for,"" he said. ""We're going to ask for them so that when we call the meeting, we have several board members that we can appoint. Suddenly we make a change of statutes, although it is not clear that we are going to do it, ""added the minister. What is not clear is how the president of the board of directors of Ecopetrol, Luigi Echeverri, and other of his will be asked to resign. members. This request is unprecedented and has legal loopholes, since the board is elected by the assembly. In the case of Echeverri, although he was nominated by the Duke Government, it was the Ecopetrol assembly that received the trusteeship that was the only one that, in principle, could revoke it, unless he wanted to withdraw of his own free will. The Minister of Finance could not then demand his resignation, especially when Echeverri is not an official and the board of the oil company is independent. What would proceed then is that the Petro Government request an extraordinary assembly or wait for the ordinary one in March and present a new one. ready to form the board of directors. The safest thing is that it would have to make a change of statutes. The most recent antecedent of what happens in Ecopetrol with the arrival of the new government is what happened in Medellín with the EPM board when Daniel Quintero assumed the mayor's office. The board resigned and literally dropped the order. Everything indicates that this will not happen at Ecopetrol, especially when the best financial results in history have just been achieved. The one of the greater company of the State will be another price.",False,False,False,True,False,False,False
Ecopetrol,"The President of the Republic, Gustavo Petro, made a special visit to the solar parks that Ecopetrol has installed in that region of the country in the department of Meta. During the tour, he held a meeting with the president of that entity, Felipe Bayón. According to official information from the Casa de Nariño, the Colombian president visited the solar park and the San Fernando station in Castilla La Nueva (Meta). “He also took a tour of the solar plant and the San Fernando station, where he was introduced to the San Fernando powerhouse and the Granja Solar operations room.” Likewise, once the industrial tour to Castilla 3 was over, the President Petro learned first-hand about the gas, oil and water treatment system. During the tour, President Petro pointed out that the time has come to change the way of living with the planet, strengthening renewable energies such as solar parks, recognizing in turn, Ecopetrol is a leader in that area.“The time has come to change our way of living with the planet!🌎In the department of Meta we will promote the #EnergyTransition agenda, accelerating the fight against climate change, migrating towards cleaner and renewable energies. #StartYourGovernment”, trilled the Presidency of the Republic. And in another message it indicated: “Over time the #EnergyTransition has become a country challenge; Together with @ECOPETROL_SA, we will seek to continue being the leading country in renewable energies, we will increase solar farms and we will work on the sustainable development of all regions of Colombia.” “The solar parks of @ECOPETROL_SA ☀️ are evidence that our country can to be a model of the #EnergyTransition, friendly to the environment, socially responsible and that helps mitigate climate change”, published the Casa de Nariño in another Twitter message. On the other hand, and continuing with the day’s agenda, President Petro sworn in Néstor Osuna as Minister of Justice and Arturo Luna as Minister of Science this Wednesday morning. The event took place in an atypical manner again at the facilities of the Military Transport Air Center (Catam). In this scenario, the head of The State affirmed that one of the tasks that Osuna has at the head of the ministry is to address in depth the justice reform, which –according to the Colombian president– must e revolve around the need for Colombia to have more judges of the Republic. On the other hand, and despite a controversy that was surrounding Luna, President Petro struck a blow on the table and ratified him as Minister of Science, carrying out its possession in Catam.",True,False,False,False,False,False,False
Ecopetrol,"Ecopetrol announced this Friday that it had signed an electricity trading contract with Gecelca to meet the demand for Non-Regulated Energy of the Ecopetrol Group. The decision was made due to its withdrawal from electricity trading activities, derived from acquisition of 51.4% of the outstanding shares of Interconexión Eléctrica (ISA) and compliance with energy regulation in Colombia. The contract, whose term extends until December 31, 2036, is intended to ensure a scheme of attention for the supply of electrical energy through the National Interconnected System (SIN) for the Ecopetrol Group that allows optimizing its cost and the necessary coverage. Gecelca was selected from a competitive process to which 17 agents were invited among generators / marketers of Wholesale Energy Market. The amount of the contract is the result of the estimated amounts of energy required and n The operation for the final tariff to be paid by the Ecopetrol Group, the main consumer of Non-Regulated Energy in Colombia, and is obtained from the sum of the characteristic components of the cost of energy (generation, transmission, distribution, commercialization, losses, restrictions and others) in the national electricity market. The execution of the contract will begin in the coming weeks, once the registration and inscription procedures are completed with the Administrator of the Commercial Exchange System of the Wholesale Energy Market in Colombia. A week ago, before The Financial Superintendence presented the results of Ecopetrol, the state oil company that has had the market in expectation, due to the movements that occurred in valuation, in part, due to the announcements made in the campaign by the government of President-elect Gustavo Petro, according to which, oil exploration could be stopped in one fell swoop. Subsequently, the tide began to calm down, pr Mainly, due to the declarations of the appointed Minister of Finance, José Antonio Ocampo, who answered how long oil will be produced in the midst of the strong commitment to an energy transition, such as the one the new government has. With oil, we need to continue being exporters for a while, while we diversify the export structure, which is a basic objective of the next government”, he said. For this reason, the results of the oil company in the second quarter of the year should be highlighted. According to the report presented this Wednesday, Ecopetrol had consolidated income of 43.9 billion pesos, a net profit of 10.5 billion, and an EBITDA (acronym in English, which means: profit before interest, taxes, depreciation and amortization). of 22.2 billion pesos, with which the margin achieved was 51%, becoming the highest in the Company's history, they announced in the statement. Meanwhile, in the accumulated figure for the year, consolidated revenues totaled 76.4 billion pesos, a net profit of 17 billion, and an EBITDA of 38.1 billion (EBITDA margin of 50% throughout the semester). Ecopetrol's figures are presented in the midst of a global context, in which , the international price of crude oil (average Brent in the second quarter of 2022 is 112 dollars per barrel). In addition, it is also key to bear in mind the exchange rate effect, whose representative rate of the average market in the second quarter of 2022 has been of 3,915 pesos per dollar .",False,False,False,False,False,True,False
