,Palabra,Frecuencia,ID_Articulo
0,"movimiento, dólar, semanas",1,0
1,"dólar, semanas, atrás",1,0
2,"semanas, atrás, venía",1,0
3,"atrás, venía, mostrando",1,0
4,"venía, mostrando, comportamientos",1,0
5,"mostrando, comportamientos, bajistas",1,0
6,"comportamientos, bajistas, constantes",1,0
7,"bajistas, constantes, viernes",1,0
8,"constantes, viernes, enero",1,0
9,"viernes, enero, sorprendió",1,0
10,"enero, sorprendió, leve",1,0
11,"sorprendió, leve, repunte",1,0
12,"leve, repunte, presentó",1,0
13,"repunte, presentó, miércoles",1,0
14,"presentó, miércoles, febrero",1,0
15,"miércoles, febrero, fecha",1,0
16,"febrero, fecha, comenzó",1,0
17,"fecha, comenzó, caer",1,0
18,"comenzó, caer, nuevamente",1,0
19,"caer, nuevamente, comportamiento",1,0
20,"nuevamente, comportamiento, duró",1,0
21,"comportamiento, duró, volatilidad",1,0
22,"duró, volatilidad, moneda",1,0
23,"volatilidad, moneda, viene",1,0
24,"moneda, viene, acompañada",1,0
25,"viene, acompañada, serie",1,0
26,"acompañada, serie, sucesos",1,0
27,"serie, sucesos, nacionales",1,0
28,"sucesos, nacionales, internacionales",1,0
29,"nacionales, internacionales, semana",1,0
30,"internacionales, semana, excepción",1,0
31,"semana, excepción, evento",1,0
32,"excepción, evento, clave",1,0
33,"evento, clave, semana",1,0
34,"clave, semana, decisión",1,0
35,"semana, decisión, reserva",1,0
36,"decisión, reserva, federal",1,0
37,"reserva, federal, tasas",1,0
38,"federal, tasas, interés",1,0
39,"tasas, interés, mercado",1,0
40,"interés, mercado, cree",1,0
41,"mercado, cree, anuncios",1,0
42,"cree, anuncios, cerca",1,0
43,"anuncios, cerca, finalización",1,0
44,"cerca, finalización, ciclo",1,0
45,"finalización, ciclo, subidas",1,0
46,"ciclo, subidas, tasas",1,0
47,"subidas, tasas, unidos",1,0
48,"tasas, unidos, asegura",1,0
49,"unidos, asegura, david",1,0
50,"asegura, david, cubides",1,0
51,"david, cubides, director",1,0
52,"cubides, director, investigaciones",1,0
53,"director, investigaciones, económicas",1,0
54,"investigaciones, económicas, alianza",1,0
55,"económicas, alianza, entender",1,0
56,"alianza, entender, comportamiento",1,0
57,"entender, comportamiento, dólar",1,0
58,"comportamiento, dólar, semana",1,0
59,"dólar, semana, analizar",1,0
60,"semana, analizar, viernes",1,0
61,"analizar, viernes, enero",1,0
62,"viernes, enero, dólar",1,0
63,"enero, dólar, comenzó",1,0
64,"dólar, comenzó, repuntar",1,0
65,"comenzó, repuntar, semana",1,0
66,"repuntar, semana, baja",1,0
67,"semana, baja, navegando",1,0
68,"baja, navegando, pesos",1,0
69,"navegando, pesos, comportamiento",1,0
70,"pesos, comportamiento, justo",1,0
71,"comportamiento, justo, anunciara",1,0
72,"justo, anunciara, noche",1,0
73,"anunciara, noche, jueves",1,0
74,"noche, jueves, salida",1,0
75,"jueves, salida, felipe",1,0
76,"salida, felipe, bayón",1,0
77,"felipe, bayón, presidencia",1,0
78,"bayón, presidencia, ecopetrol",1,0
79,"presidencia, ecopetrol, marzo",1,0
80,"ecopetrol, marzo, expertos",1,0
81,"marzo, expertos, aseguraron",1,0
82,"expertos, aseguraron, única",1,0
83,"aseguraron, única, razón",1,0
84,"única, razón, alza",1,0
85,"razón, alza, moneda",1,0
86,"alza, moneda, dividiéramos",1,0
87,"moneda, dividiéramos, subida",1,0
88,"dividiéramos, subida, dólar",1,0
89,"subida, dólar, frente",1,0
90,"dólar, frente, cierre",1,0
91,"frente, cierre, jueves",1,0
92,"cierre, jueves, diría",1,0
93,"jueves, diría, reacción",1,0
94,"diría, reacción, mercado",1,0
95,"reacción, mercado, salida",1,0
96,"mercado, salida, bayón",1,0
97,"salida, bayón, ecopetrol",1,0
98,"bayón, ecopetrol, importante",1,0
99,"ecopetrol, importante, catástrofe",1,0
100,"importante, catástrofe, aplica",1,0
101,"catástrofe, aplica, especie",1,0
102,"aplica, especie, escepticismo",1,0
103,"especie, escepticismo, inversionistas",1,0
104,"escepticismo, inversionistas, asegura",1,0
105,"inversionistas, asegura, wilson",1,0
106,"asegura, wilson, tovar",1,0
107,"wilson, tovar, gerente",1,0
108,"tovar, gerente, investigaciones",1,0
109,"gerente, investigaciones, firma",1,0
110,"investigaciones, firma, acciones",1,0
111,"firma, acciones, sebastián",1,0
112,"acciones, sebastián, toro",1,0
113,"sebastián, toro, trader",1,0
114,"toro, trader, especialista",1,0
115,"trader, especialista, economía",1,0
116,"especialista, economía, asesor",1,0
117,"economía, asesor, renta",1,0
118,"asesor, renta, bolsa",1,0
119,"renta, bolsa, presionando",1,0
120,"bolsa, presionando, dólar",1,0
121,"presionando, dólar, alza",1,0
122,"dólar, alza, comunicado",1,0
123,"alza, comunicado, presidente",1,0
124,"comunicado, presidente, regulación",1,0
125,"presidente, regulación, servicios",1,0
126,"regulación, servicios, públicos",1,0
127,"servicios, públicos, comienza",1,0
128,"públicos, comienza, oler",1,0
129,"comienza, oler, control",1,0
130,"oler, control, precios",1,0
131,"control, precios, funcionado",1,0
132,"precios, funcionado, partes",1,0
133,"funcionado, partes, subida",1,0
134,"partes, subida, moneda",1,0
135,"subida, moneda, enero",1,0
136,"moneda, enero, lunes",1,0
137,"enero, lunes, martes",1,0
138,"lunes, martes, comenzando",1,0
139,"martes, comenzando, semana",1,0
140,"comenzando, semana, cifra",1,0
141,"semana, cifra, veía",1,0
142,"cifra, veía, enero",1,0
143,"veía, enero, expertos",1,0
144,"enero, expertos, aseguraron",1,0
145,"expertos, aseguraron, causa",1,0
146,"aseguraron, causa, reacciones",1,0
147,"causa, reacciones, frente",1,0
148,"reacciones, frente, anuncio",1,0
149,"frente, anuncio, ecopetrol",1,0
150,"anuncio, ecopetrol, reporte",1,0
151,"ecopetrol, reporte, ministra",1,0
152,"reporte, ministra, minas",1,0
153,"ministra, minas, antesala",1,0
154,"minas, antesala, subida",1,0
155,"antesala, subida, tasas",1,0
156,"subida, tasas, llevó",1,0
157,"tasas, llevó, cabo",1,0
158,"llevó, cabo, miércoles",1,0
159,"cabo, miércoles, miércoles",1,0
160,"miércoles, miércoles, reunión",1,0
161,"miércoles, reunión, colombia",1,0
162,"reunión, colombia, volvió",1,0
163,"colombia, volvió, testigo",1,0
164,"volvió, testigo, leve",1,0
165,"testigo, leve, reducción",1,0
166,"leve, reducción, divisa",1,0
167,"reducción, divisa, cerró",1,0
168,"divisa, cerró, toro",1,0
169,"cerró, toro, caímos",1,0
170,"toro, caímos, piso",1,0
171,"caímos, piso, rebotamos",1,0
172,"piso, rebotamos, piso",1,0
173,"rebotamos, piso, gente",1,0
174,"piso, gente, anuncios",1,0
175,"gente, anuncios, reserva",1,0
176,"anuncios, reserva, federal",1,0
177,"reserva, federal, esperados",1,0
178,"federal, esperados, incrementando",1,0
179,"esperados, incrementando, tasas",1,0
180,"incrementando, tasas, puntos",1,0
181,"tasas, puntos, básicos",1,0
182,"puntos, básicos, evidenciando",1,0
183,"básicos, evidenciando, baja",1,0
184,"evidenciando, baja, aumento",1,0
185,"baja, aumento, reunión",1,0
186,"aumento, reunión, consecutiva",1,0
187,"reunión, consecutiva, banco",1,0
188,"consecutiva, banco, central",1,0
189,"banco, central, mantuvo",1,0
190,"central, mantuvo, materia",1,0
191,"mantuvo, materia, costos",1,0
192,"materia, costos, endeudamiento",1,0
193,"costos, endeudamiento, nivel",1,0
194,"endeudamiento, nivel, alto",1,0
195,"nivel, alto, jueves",1,0
196,"alto, jueves, dólar",1,0
197,"jueves, dólar, volvió",1,0
198,"dólar, volvió, sorprender",1,0
199,"volvió, sorprender, cerrando",1,0
200,"sorprender, cerrando, promedio",1,0
201,"cerrando, promedio, comportamiento",1,0
202,"promedio, comportamiento, vera",1,0
203,"comportamiento, vera, nieto",1,0
204,"vera, nieto, economista",1,0
205,"nieto, economista, jefe",1,0
206,"economista, jefe, capital",1,0
207,"jefe, capital, explica",1,0
208,"capital, explica, movimiento",1,0
209,"explica, movimiento, tasas",1,0
210,"movimiento, tasas, bancos",1,0
211,"tasas, bancos, centrales",1,0
212,"bancos, centrales, subieron",1,0
213,"centrales, subieron, magnitud",1,0
214,"subieron, magnitud, dando",1,0
215,"magnitud, dando, menor",1,0
216,"dando, menor, percepción",1,0
217,"menor, percepción, riesgo",1,0
218,"percepción, riesgo, favorecen",1,0
219,"riesgo, favorecen, compras",1,0
220,"favorecen, compras, países",1,0
221,"compras, países, emergentes",1,0
222,"países, emergentes, colombia",1,0
223,"emergentes, colombia, paga",1,0
224,"colombia, paga, tasas",1,0
225,"paga, tasas, altas",1,0
226,"tasas, altas, dicha",1,0
227,"altas, dicha, duró",1,0
228,"dicha, duró, moneda",1,0
229,"duró, moneda, abrió",1,0
230,"moneda, abrió, viernes",1,0
231,"abrió, viernes, repunte",1,0
232,"viernes, repunte, pesos",1,0
233,"repunte, pesos, frente",1,0
234,"pesos, frente, vigente",1,0
235,"frente, vigente, comportamiento",1,0
236,"vigente, comportamiento, jueves",1,0
237,"comportamiento, jueves, vimos",1,0
238,"jueves, vimos, demanda",1,0
239,"vimos, demanda, dólares",1,0
240,"demanda, dólares, acciones",1,0
241,"dólares, acciones, unidos",1,0
242,"acciones, unidos, valorizado",1,0
243,"unidos, valorizado, significativamente",1,0
244,"valorizado, significativamente, apetito",1,0
245,"significativamente, apetito, inversiones",1,0
246,"apetito, inversiones, mercados",1,0
247,"inversiones, mercados, acciones",1,0
248,"mercados, acciones, globales",1,0
249,"acciones, globales, indica",1,0
250,"globales, indica, acciones",1,0
251,"indica, acciones, tecnológicas",1,0
252,"acciones, tecnológicas, jugando",1,0
253,"tecnológicas, jugando, papel",1,0
254,"jugando, papel, importante",1,0
255,"papel, importante, comportamiento",1,0
256,"importante, comportamiento, dólar",1,0
257,"comportamiento, dólar, cierre",1,0
258,"dólar, cierre, conveniente",1,0
259,"cierre, conveniente, sacar",1,0
260,"conveniente, sacar, préstamo",1,0
261,"sacar, préstamo, invertir",1,0
262,"préstamo, invertir, comportamientos",1,0
263,"invertir, comportamientos, dólar",1,0
264,"comportamientos, dólar, personas",1,0
265,"dólar, personas, verse",1,0
266,"personas, verse, influenciadas",1,0
267,"verse, influenciadas, invertir",1,0
268,"influenciadas, invertir, dólares",1,0
269,"invertir, dólares, piensan",1,0
270,"dólares, piensan, adquirir",1,0
271,"piensan, adquirir, créditos",1,0
272,"adquirir, créditos, libre",1,0
273,"créditos, libre, inversión",1,0
274,"libre, inversión, expertos",1,0
275,"inversión, expertos, consideran",1,0
276,"expertos, consideran, medida",1,0
277,"consideran, medida, peligrosa",1,0
278,"medida, peligrosa, efectivamente",1,0
279,"peligrosa, efectivamente, comprueba",1,0
280,"efectivamente, comprueba, datos",1,0
281,"comprueba, datos, adquirir",1,0
282,"datos, adquirir, deuda",1,0
283,"adquirir, deuda, altas",1,0
284,"deuda, altas, tasas",1,0
285,"altas, tasas, moneda",1,0
286,"tasas, moneda, volátil",1,0
287,"moneda, volátil, resultar",1,0
288,"volátil, resultar, pérdidas",1,0
289,"resultar, pérdidas, operación",1,0
290,"pérdidas, operación, arriesgada",1,0
291,"operación, arriesgada, instancia",1,0
292,"arriesgada, instancia, préstamos",1,0
293,"instancia, préstamos, libre",1,0
294,"préstamos, libre, inversión",1,0
295,"libre, inversión, actualmente",1,0
296,"inversión, actualmente, tasas",1,0
297,"actualmente, tasas, colocación",1,0
298,"tasas, colocación, elevadas",1,0
299,"colocación, elevadas, mercado",1,0
300,"elevadas, mercado, capital",1,0
301,"mercado, capital, destina",1,0
302,"capital, destina, compra",1,0
303,"destina, compra, dólares",1,0
304,"compra, dólares, idea",1,0
305,"dólares, idea, divisa",1,0
306,"idea, divisa, subir",1,0
307,"divisa, subir, básicamente",1,0
