Fecha Extraccion,Titulo,Fecha Publicacion,Resumen,URL,Empresa,Tema,Contenido
2023-01-26 23:13:47,"Atención: tras nueva mesa de diálogo, se levanta el bloqueo en la Ruta del Sol",ENERO 26 DE 2023,Viceministra del Interior afirmó que se llegó a un acuerdo con los líderes de las protestas.,https://www.eltiempo.com/colombia/santander/ruta-del-sol-se-levanta-el-bloqueo-en-la-via-737200,ecopetrol,SANTANDER,SIN PARRAFOS
2023-01-26 23:13:47,¿Qué viene ahora para Ecopetrol con la salida de Felipe Bayón?,ENERO 26 DE 2023,Analistas aseguran que es probable que la acción de Ecopetrol reaccione a la baja este viernes.,https://www.eltiempo.com/economia/sectores/que-viene-ahora-para-ecopetrol-con-la-salida-de-felipe-bayon-737178,ecopetrol,SECTORES,SIN PARRAFOS
2023-01-26 23:13:47,"Se va Felipe Bayón, el presidente de los récords históricos de Ecopetrol",ENERO 26 DE 2023,Bayón asumió la presidencia de la petrolera en septiembre de 2017. Irá hasta el 31 de marzo de 2023.,https://www.eltiempo.com/economia/empresas/atencion-felipe-bayon-estara-al-frente-de-ecopetrol-hasta-el-31-de-marzo-737117,ecopetrol,EMPRESAS,SIN PARRAFOS
2023-01-26 23:13:47,Bloqueos en vías nacionales del país: ¿qué está pasando?,ENERO 26 DE 2023,"Las protestas en Córdoba, Sucre, la Guajira y Santander han dejado incomunicados a sus habitantes.",https://www.eltiempo.com/colombia/otras-ciudades/bloqueos-en-santander-cordoba-y-la-guajira-paralizan-al-pais-que-pasa-737105,ecopetrol,OTRAS CIUDADES,SIN PARRAFOS
2023-01-26 23:13:47,"Procuraduría abre indagación preliminar a la ministra de Minas, Irene Vélez",ENERO 26 DE 2023,Se investiga la posible falsedad de informe que diría que el país tiene reservas de gas hasta 2042.,https://www.eltiempo.com/justicia/investigacion/procuraduria-abre-indagacion-preliminar-a-la-ministra-de-minas-irene-velez-737109,ecopetrol,INVESTIGACIÓN,SIN PARRAFOS
2023-01-26 23:13:47,"Se acabó la gasolina en Barrancabermeja, la capital del petróleo",ENERO 26 DE 2023,"La situación es crítica porque hay dificultad para ingreso de alimentos, medicamentos y ganadería.",https://www.eltiempo.com/colombia/santander/barrancabermeja-no-hay-gasolina-y-hay-escasez-de-alimentos-736735,ecopetrol,SANTANDER,SIN PARRAFOS
2023-01-26 23:13:47,Se agrava la crisis en Barranca: hay pérdida de insumos y bloqueo de motos,ENERO 26 DE 2023,Más de 20 buses están atrapados en la Lizama. La comunidad ha tenido que dormir en la vía.,https://www.eltiempo.com/colombia/santander/andi-reporta-afectaciones-en-insumos-y-hay-paro-de-motos-en-barrancabermeja-737020,ecopetrol,SANTANDER,SIN PARRAFOS
2023-01-26 23:13:48,Ocampo vuelve a desmentir a Vélez y dice que se debe esperar informe de reservas,ENERO 26 DE 2023,"El ministro de Hacienda también dijo que ""no acepta la propuesta de que Colpensiones sea un banco"".",https://www.eltiempo.com/economia/sectores/ocampo-no-hay-estimaciones-finales-de-las-reservas-de-petroleo-y-gas-736727,ecopetrol,SECTORES,SIN PARRAFOS
2023-01-26 23:13:48,En riesgo producción de combustibles en el país por bloqueos en Magdalena Medio,ENERO 25 DE 2023,La refinería de Barrancabermeja se verá obligada a reducir su carga a partir de mañana jueves.,https://www.eltiempo.com/economia/sectores/en-riesgo-produccion-de-combustibles-por-bloqueos-en-magdalena-medio-736875,ecopetrol,SECTORES,SIN PARRAFOS
2023-01-26 23:13:48,La Judicatura y la Comisión de Disciplina Judicial tienen nuevos presidentes,ENERO 25 DE 2023,Se trata de Aurelio Rodríguez y de Magda Victoria Acosta. Estas son sus trayectorias.,https://www.eltiempo.com/justicia/cortes/judicatura-y-la-comision-de-disciplina-judicial-tienen-nuevos-presidentes-736763,ecopetrol,CORTES,SIN PARRAFOS
2023-01-26 23:13:53,Grave desabastescimiento de gasolina en Barrancabermeja por bloqueos viales,ENERO 24 DE 2023,El 50% de las estaciones están sin gasolina y piden a Ecopetrol poder abastescer.,https://www.eltiempo.com/colombia/santander/desabastecimiento-de-gasolinea-en-barrancabermeja-por-paro-736464,ecopetrol,SANTANDER,SIN PARRAFOS
2023-01-26 23:13:53,Ecopetrol: ¿cuántos recursos le dejará la petrolera a la Nación en el 2023?,ENERO 24 DE 2023,Principalmente estos recursos se darán por dividendos e impuestos.,https://www.eltiempo.com/economia/empresas/ecopetrol-cuantos-recursos-le-dejara-la-petrolera-a-la-nacion-en-el-2023-736285,ecopetrol,EMPRESAS,SIN PARRAFOS
2023-01-26 23:13:53,La resiliencia de Colombia en la arena del cambio climático,ENERO 23 DE 2023,Colombia se encuentra a la vanguardia de la transición energética en la vía a la descarbonización.,https://www.eltiempo.com/opinion/columnistas/otros-columnistas/la-resiliencia-de-colombia-en-la-arena-del-cambio-climatico-lina-paez-736150,ecopetrol,COLUMNISTAS,SIN PARRAFOS
2023-01-26 23:13:53,Ecopetrol comprará energía que generará un cultivo de eucalipto en Casanare,ENERO 23 DE 2023,La planta de biomasa se comenzará a construir este año e iniciará operaciones a principios de 2025.,https://www.eltiempo.com/economia/empresas/ecopetrol-comprara-energia-que-generara-un-cultivo-de-eucalipto-en-casanare-736153,ecopetrol,EMPRESAS,SIN PARRAFOS
2023-01-26 23:13:53,"Para reemplazar crudo, turismo tendría que vender US$ 9.800 millones más al año",ENERO 21 DE 2023,Agencias de viajes y sector hotelero coinciden en que transición no debe hacerse a la ligera.,https://www.eltiempo.com/economia/sectores/petroleo-puede-el-turismo-reemplazarlo-en-colombia-en-el-corto-plazo-735424,ecopetrol,SECTORES,SIN PARRAFOS
2023-01-26 23:13:53,'La transición energética llevará tiempo': director de crédito de Hacienda,ENERO 20 DE 2023,José Roberto Acosta se pronunció sobre el anuncio que realizó la ministra de Minas y Energía.,https://www.eltiempo.com/economia/sectores/reacciones-al-anuncio-de-ministra-de-minas-sobre-exploracion-petrolera-735468,ecopetrol,SECTORES,SIN PARRAFOS
2023-01-26 23:13:54,Gustavo Petro: 'Las reservas de gas alcanzan para un periodo entre 2037 y 2042',ENERO 20 DE 2023,"Además, respaldó a la ministra Irene Vélez sobre no firmar nuevos contratos de exploración.",https://www.eltiempo.com/politica/gobierno/petro-habla-sobre-negativa-a-firmar-nuevos-contratos-de-exploracion-735393,ecopetrol,GOBIERNO,SIN PARRAFOS
